location,bhk,rent,area_sqft,furnishing,property_type,floor,total_floors,age_of_property,amenities_score,distance_to_station_km
Andheri West,3,85000,1100,Furnished,Apartment,9,20,4,9,0.9
Andheri East,1,28000,400,Unfurnished,Apartment,2,10,8,6,1.4
Bandra West,3,120000,1200,Furnished,Apartment,5,10,6,10,0.6
Bandra East,2,60000,750,Semi-Furnished,Apartment,8,18,5,8,1.1
Powai,1,35000,500,Semi-Furnished,Apartment,6,22,3,8,1.4
Thane West,3,55000,1100,Furnished,Apartment,12,25,4,9,2.1
Thane East,2,30000,650,Semi-Furnished,Apartment,4,12,7,7,2.3
Vashi,1,25000,450,Unfurnished,Apartment,3,10,9,6,1.9
Nerul,2,35000,750,Semi-Furnished,Apartment,6,15,5,7,1.7
Dadar West,3,95000,1100,Furnished,Apartment,4,9,10,9,0.7
Dadar East,2,60000,700,Semi-Furnished,Apartment,5,12,9,8,0.8
Lower Parel,1,55000,500,Furnished,Apartment,18,35,2,9,0.5
Goregaon West,3,70000,1000,Furnished,Apartment,8,18,5,9,1.2
Goregaon East,2,45000,650,Semi-Furnished,Apartment,6,14,6,8,1.4
Malad West,3,65000,950,Furnished,Apartment,7,20,4,9,1.6
Malad East,2,38000,650,Semi-Furnished,Apartment,5,15,7,7,1.8
Kandivali West,3,60000,900,Furnished,Apartment,7,18,5,8,1.9
Borivali West,2,40000,700,Semi-Furnished,Apartment,6,16,6,7,1.7
Colaba,3,140000,1400,Furnished,Apartment,3,7,18,10,0.2
Fort,2,70000,800,Furnished,Apartment,4,10,20,9,0.3
Chembur,3,65000,1000,Furnished,Apartment,8,18,5,9,1.3
Kurla West,2,32000,600,Semi-Furnished,Apartment,4,10,9,7,2.0
Kurla East,1,23000,400,Unfurnished,Apartment,2,8,10,6,2.2
Mulund West,3,55000,1000,Furnished,Apartment,10,20,5,9,1.9
Mulund East,2,38000,700,Semi-Furnished,Apartment,6,15,6,8,2.1
Ghatkopar West,2,45000,700,Semi-Furnished,Apartment,5,12,6,8,1.2
Ghatkopar East,1,30000,450,Unfurnished,Apartment,3,10,8,6,1.3
Santacruz West,2,70000,750,Furnished,Apartment,4,10,7,9,0.6
Santacruz East,1,35000,500,Semi-Furnished,Apartment,5,12,8,7,1.0
Juhu,3,150000,1300,Furnished,Apartment,6,12,10,10,0.5
Vile Parle West,2,65000,750,Furnished,Apartment,4,10,9,9,0.7
Vile Parle East,1,32000,450,Semi-Furnished,Apartment,3,8,10,7,0.9
Khar West,2,80000,850,Furnished,Apartment,5,10,8,10,0.6
Khar East,1,40000,500,Semi-Furnished,Apartment,4,12,9,7,1.1
Sion,2,42000,700,Semi-Furnished,Apartment,6,15,7,8,1.4
Matunga,2,60000,750,Furnished,Apartment,3,8,12,9,0.8
Worli,3,180000,1500,Furnished,Apartment,20,40,3,10,0.4
Parel,2,85000,850,Furnished,Apartment,15,30,4,10,0.5
Byculla,1,45000,550,Furnished,Apartment,5,12,10,8,0.7
